,NickName,Sex,Province,City,Signature
0,哎呀呀,1,江苏,泰州,人生总有些些遗憾那就随它去
1,幸运的北极狼,1,江苏,淮安,
2,李运遥,1,河南,信阳,Make me stronger
3,兴化太平鸟男装,1,,,时尚等你来
4,暖心！,2,,,亲们！此活动只限国内哦
5,纽上时尚男装,1,江苏,泰州,兴化市牌楼中路八字桥广场22号
6,A 吉祥宠物馆,0,,,
7,5250小卖部,0,,,
8,【磐木】,2,北京,东城,"坚持精品 • 坚守匠心
品味古韵 • 传承文化"
9,A.FaceRec,1,河北,邯郸,
10,周傲英,1,上海,杨浦,
11,Gangstar 运动汇001,1,福建,莆田,没回就是不在，有在必回。品质才是生存之道！
12,紫檀·陈家老号💢,1,山东,济宁,陈家老号，始于1982年，专注小叶紫檀！每年卖出30000串佛珠！
13,钟洋,1,,,。。。。。。
14,影靥羽,0,,,
15,SMU,1,山西,运城,
16,HY,0,江苏,南京,
17,A标榜造型；百莲凯美容美体；,2,江苏,扬州,
18,琅琊,1,江苏,南通,最痛苦的事，不是失败，而是我本可以。
19,瞿艳,2,江苏,泰州,我们不需要怀念过去，因为过去总有遗憾；憧憬未来。。
20,Vera,2,江苏,常州,鲜衣怒马的少年
21,杨小菲,0,,,
22,Ching,1,,,
23,啄木鸟,1,江苏,南京,啄木鸟
24,导员,0,,,
25,时光机,0,,,创意创新创业之家
26,金陵游子,1,江苏,南京,
27,周晶🐶℡₁₅₁₆₁₈₆₃₁₁₂,1,江苏,扬州,"扬州心动犬舍CKU,FCI国际登记犬舍，编号：127083"
28,多宝,1,江苏,连云港,长期经营各类高端多宝单珠、配件，如有请私信联系！
29,Effy,2,江苏,泰州,我
30,气象球,0,,,
31,三石二栗,0,,,
32,木木,1,江苏,扬州,云月无心
33,青青子衿,2,江苏,南京,
34,hank妈咪台湾代购,0,,,此号己满，请加yunyajing001
35,拉着你的^小拇指^,2,江苏,淮安,努力和上进，不是为了做给别人看，是为了不辜负自己，不辜负此生
36,Unicellular_,1,安徽,六安,自律！
37,金刚,1,江苏,泰州,靠自己改变命运
38,A  A。        王飞,1,江苏,无锡,15896040844有事打电话。
39,上海海事大学研招办,1,,,咨询时间：工作日9：00-11：00，13：30-16：00，仅受理招生问题
40,假牙ci肉坨子,2,江苏,泰州,招尔护攻，相损相从
41,A紫木名府高端佛珠收藏馆01号客服,1,四川,成都,"以珠会友,鉴赏高端紫檀收藏!支持鉴定,假一罚十!9-20:00在线!"
42,舟,1,Ulsan,,
43,阿古,1,江苏,南京,我还是很喜欢你，像鲸沉于海底温柔呼吸，痴极嗔极。
44,零零,2,安徽,合肥,
45,经典眼镜,2,江苏,镇江,由于此号人数超限，请加新微号17805025190
46,小眼耗子,1,江苏,淮安,
47,💌四喜Nicole汤圆🍭,2,江苏,常州,生命太短，一分钟都不要留给那些让你不快的人或事。
48,辰未语人,1,江苏,南京,you can't fake strong.
49,Владимир Путин,1,gorodSankt-Peterburg,Saint Petersburg,
50,姬子,1,江苏,徐州,少年豪放，莫学衰翁样！
51,简单,2,江苏,泰州,
52,斑骓一系无寻处,2,山东,菏泽,也慢慢坏了心肠
53,Kevin,1,江苏,南京,
54,D,1,江苏,泰州,，，，，，，，
55,风,0,,,
56,Phoenix,1,浙江,杭州,没有岁月静好，只有负重前行
57,江苏侯氏巨贵犬舍精剪宠物美容培训,1,江苏,淮安,出售，巨贵（家庭伴侣犬，单血统，双血统幼犬）官方QQ1813922002
58,浪迹丶boy,1,,,不去做虚假的努力 结果不会陪你演戏
59,GKX、,2,山东,,18260031730
60,柠檬不萌,1,江苏,南京,
61,Mmmmm,1,江苏,徐州,
62,树影,0,,,
63,Henry,1,江苏,南京,过好自己的生活就好
64,Samle,1,Addu Atoll,,捱
65,匿名,2,江苏,南京,宁缺毋滥
66,陈毅颖,2,江苏,泰州,往事不回头，未来不将就
67,小茼蒿子🐛,2,江苏,泰州,👪健康最重要
68,沫初（此号已满请加heydawan),2,Paris,,淘宝店铺名:大碗法国
69,小毛驴,2,江苏,南京,
70,D.M,1,江苏,连云港,
71,Deadline,2,安徽,安庆,Keep in touch.
72,hermia 。,2,江苏,泰州,  
73,小琪,1,浙江,杭州,
74,大晓燕儿💃🏼,2,江苏,苏州,"一个对生活既不苟求也决不将就的姑娘<span class=""emoji emoji1f463""></span>"
75,讲真的不仅仅是喜欢,1,江苏,常州,月落，乌啼，霜，满天江风。
76,i find you,1,江苏,南京,做人做事心里要有杆秤，自我约束，自我提升
77,胡逍遥,1,湖南,益阳, 蒹葭苍苍
78,xs七弦,2,福建,莆田,懒
79,鱼,1,江苏,扬州,总有一天我有属于我的天
80,Mrs Q,2,安徽,六安,无与伦比
81,周半仙。,1,江苏,泰州,  Ｉ know you want me。
82,善有,1,,,不净之法一无有，真如诸显皆弥陀
83,范淑敏,2,江苏,无锡,Don't be silly.
84,幸运儿,2,广东,茂名,好好鬼混  做个王八蛋
85,恐龙蛋王子,1,,,
86,A@孙爽@桀骜漂泊,2,,,
87,Lost,1,上海,徐汇,ATesting—为了更好的你！
88,吕建伟,1,江苏,扬州,过去了，就忘了吧…
89,Empty ride,1,江苏,苏州,
90,K   x °,1,江苏,泰州,                    
91,A0同程旅游❤18662502289,2,江苏,扬州,
92,浮生,0,江苏,泰州,
93,毛毛裤,2,江苏,常州,
94,纸上薄荷,2,江苏,南通,
95,戴南人民路自办厅,2,江苏,泰州,戴南镇人民路1号转盘营业厅13921711507
96,忆起红颜泪,1,江苏,泰州,我还爱着你. 只不过少了非要在一起的执着
97,Lynn,2,,,
98,Sovay,1,江苏,南京,活着，天底下没有比这更大的道理了！
99,角落明媚,1,江苏,镇江,"代表<span class=""emoji emoji1f31b""></span> neng 死你."
100,阿欢,2,河南,信阳,我丑我快乐
101,糍糍糍糍丶,1,安徽,,章驰航不是张驰航。
102,雨中雾都,1,江苏,泰州,似乎不再年轻，还是努力点吧，青年！
103,Lemon,2,Kuala Lumpur,Kuala Lumpur,
104,静沐暖阳,1,江苏,宿迁,没有伞的孩子，必须奔跑！
105,小万星🌟 252折扣码【897248】,2,,,Find your motivation and don't lose it
106,A李宽舒宇Lincoln,1,吉林,吉林,给大家讲个信息量大的笑话。
107,粉墨,2,,,曾经是少年
108,阳光少年丿,1,江苏,南京,I want to change myself
109,我的名字,1,江苏,南京,风雨里笑的像个大人
110,蜗牛🐌,2,,,
111,Ocean,1,,,人生！！
112,风,1,河南,郑州,
113,孙子凡,1,江苏,南京,
114,力允,1,广东,中山,小旺狗
115,Empty set,2,江苏,泰州,∅
116,。,1,江苏,南京,
117,中华大土豆,1,江苏,南京,西去而旋转的飞鸟
118,美好人生,2,,,知足
119,风铃草,2,江苏,泰州,
120,夏末,2,江苏,泰州,“人生在世偶尔遇到困苦磨难，是上帝给我们机会来分辨清楚谁真”
121,琴华,2,江苏,泰州,只要笑一笑没什么事过不了
122,凤儿,2,江苏,泰州,淡定从容   冷暖自知
123,雨后の彩虹更美 ゑ.凉橙,2,江苏,常州,[   其实我好想知道谁的梦里每天都会有我 我一定会珍惜他
124,成长,0,,,
125,唐月琴,2,江苏,泰州,
126,鑫鑫,2,江苏,泰州,安…静
127,习惯有你！,1,辽宁,沈阳,比好人更好，比坏人更坏！
128,雅@冉,2,江苏,泰州,做真实的自己
129,脸脸(○ﾟεﾟ○),2,江苏,南通,"爱所有给我买好吃的人儿<span class=""emoji emoji1f639""></span>"
130,kevin,1,浙江,台州,大～王叫我来巡山咯
131,胖胖的大脸脸,2,江苏,连云港,♬    亲爱的爱情
132,开心,0,,,
133,👑 ˇ*傾ˇ听*紫檀花梨（招金牌代理）,1,天津,红桥,长期批发印度小叶紫檀，一律直款，磨叽勿扰。招大气代理
134,俊诚不锈钢,1,江苏,,
135,张华,1,江苏,盐城,
136,周兆丰,0,,,
137,。。。。。。,1,江苏,泰州,
138,玉儿：,2,北京,朝阳,言宜慢，心宜善
139,Sam,1,,,"越努力越幸运<span class=""emoji emoji1f340""></span>"
140,学信池子老师18020182008,2,江苏,南京,"唯一承诺

真实考官

一次上岸

不过包退

18020182008"
141,留在梦中演变🌒,1,江苏,泰州,not too bad 
142,杨萌,2,安徽,巢湖,
143,左耳近心i,2,江苏,南通,
144,春❇暖❇花❇开,1,Barrie,,
145,独佳记忆,2,江苏,南通,"好姑娘就是我<span class=""emoji emoji270c""></span>️"
146,18Dog-William,1,广东,广州,微信号已满，可以加另一个18613003338
147,王小兰,2,江苏,扬州,
148,杰克泡泡VIP顾问 9点 -18点,1,广东,中山,多看看周围的TA，在一起除了缘分还有......
149,财大果果🍉,2,江苏,南京,"谢谢你长这么好看还买我家水果<span class=""emoji emoji1f60d""></span>"
150,婷豪青春活力配镜中心4B8013,2,,,
151,Heisen,1,江苏,泰州,You have to do the best with what God gave you.
152,等风来💨,1,江苏,南京,yoyoyo。我吃了一个瓜，它甜的不像话
153,桑桑,1,江苏,扬州,胖并快乐着
154,胡叔签名,2,,,"个性签名伴随你一生，有偿设计，费用可以详谈，真诚对待！ <span class=""emoji emoji1f339""></span>"
155,Muhammad HaoGeGe,1,江苏,南通,
156,一個倒霉鬼,1,江苏,南京,宝宝心里苦
157,相丶英雄,1,江苏,南京,对不起，生而为人。
158,[cōng cōng],1,,,B站不倒，青春不倒
159,M♡,2,江苏,南通,"我 们 都 应 该 知 道 怎 么 让 自 己 开 心<span class=""emoji emoji1f349""></span>"
160,Mask,1,,,Standing on Shoulders of Giants
161,与时俱进的马克思主义接班人,1,江苏,泰州,I will shelter you
162,fyneru,1,江苏,无锡,Where has gone silent tears.
163,小天,1,江苏,盐城,my sun
164,Benny灵活胖纸,1,江苏,扬州,兼容并包，思想自由
165,。,1,江苏,扬州,Cap ou pas cap
166,北极星的泪光,1,江苏,南京,我爱学习，我爱做实验～
167,🍓,2,Seoul,,
168,此间少年,0,,,
169,心动宠物诊所周强15952718385,1,江苏,扬州,
170,张汶泽,1,江苏,宿迁,
171,吴铧,1,江苏,泰州,愿得一人心
172,金平,2,江苏,泰州,我不主动找你不是你不重要了，而是我知道我不重要了！
173,Jalen,2,江苏,泰州,任时光匆匆流去、
174,轻舟,1,江苏,泰州,也无风雨也无晴
175,🐳+1,1,,,如果我不知道，那么你肯定也不知道。
176,居成峰,1,江苏,泰州,
177,Zen,1,江苏,泰州,哇嘎嘎
178,Believer,1,江苏,南京,把简单做到纯粹，戒惰戒傲戒言。
179,辣酱呀辣,2,青海,西宁,
